experiment,model_type,num_layers,activation,hidden_dim,temperature,final_loss,best_loss,out_dir
LSTM_layers1_hidden128_Tanh,LSTM,1,Tanh,128,1.0,0.15772757418921304,0.15772757418921304,results_sweep\LSTM_layers1_hidden128_Tanh
LSTM_layers1_hidden256_Tanh,LSTM,1,Tanh,256,1.0,0.14209320181084478,0.14209320181084478,results_sweep\LSTM_layers1_hidden256_Tanh
LSTM_layers1_hidden128_ReLU,LSTM,1,ReLU,128,1.0,0.15873914808970116,0.15873914808970116,results_sweep\LSTM_layers1_hidden128_ReLU
LSTM_layers1_hidden256_ReLU,LSTM,1,ReLU,256,1.0,0.14227640627256,0.14227640627256,results_sweep\LSTM_layers1_hidden256_ReLU
LSTM_layers1_hidden128_GELU,LSTM,1,GELU,128,1.0,0.17018211246409676,0.17018211246409676,results_sweep\LSTM_layers1_hidden128_GELU
LSTM_layers1_hidden256_GELU,LSTM,1,GELU,256,1.0,0.14092910794782837,0.14092910794782837,results_sweep\LSTM_layers1_hidden256_GELU
LSTM_layers2_hidden128_Tanh,LSTM,2,Tanh,128,1.0,0.36931487288185744,0.36931487288185744,results_sweep\LSTM_layers2_hidden128_Tanh
LSTM_layers2_hidden256_Tanh,LSTM,2,Tanh,256,1.0,0.17577833040114726,0.17577833040114726,results_sweep\LSTM_layers2_hidden256_Tanh
LSTM_layers2_hidden128_ReLU,LSTM,2,ReLU,128,1.0,0.3633853073648828,0.3633853073648828,results_sweep\LSTM_layers2_hidden128_ReLU
LSTM_layers2_hidden256_ReLU,LSTM,2,ReLU,256,1.0,0.17624050986691997,0.17603747412624718,results_sweep\LSTM_layers2_hidden256_ReLU
LSTM_layers2_hidden128_GELU,LSTM,2,GELU,128,1.0,0.4474897423922766,0.4474897423922766,results_sweep\LSTM_layers2_hidden128_GELU
LSTM_layers2_hidden256_GELU,LSTM,2,GELU,256,1.0,0.18976738095034115,0.18976738095034115,results_sweep\LSTM_layers2_hidden256_GELU
LSTM_layers3_hidden128_Tanh,LSTM,3,Tanh,128,1.0,0.7428567667635914,0.7428567667635914,results_sweep\LSTM_layers3_hidden128_Tanh
